Page Type,Silo,Service,Location,Primary Keyword,Secondary Keywords,URL,SEO Title,Meta Description,H1,Primary CTA,Schema,Priority,Launch Phase,Content Uniqueness Notes,Status
Homepage,home,,,London moving company,,/,Beta Relocation | London Man and Van from £45/hr,"Beta Relocation is a London moving company for man and van, house removals, office moves, packing, furniture delivery, and same-day moves.",Beta Relocation,Get WhatsApp Quote | Call 07405 793433 | Get App,MovingCompany,P0,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Existing - needs final alignment
Service Parent,services,removals,,removals London,,/services/removals/,Removals London | Insured Movers from £45/hr,"Book removals London from £45/hr. Insured movers for homes, flats, offices, furniture, packing, and same-day local moves.",Removals London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
Pricing,pricing,,,moving prices London,,/pricing/,Moving Prices London | Man and Van from £45/hr,See moving prices London from £45/hr for one mover and van or £65/hr for two movers and van. Clear rates with no hidden pricing.,Moving Prices London,Get WhatsApp Quote | Call 07405 793433 | Get App,WebPage,P1,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
App,app,,,moving app London,,/app/,Moving App London | Book Beta Relocation,"Download the Beta Relocation moving app when available. Book London moves, manage bookings, and check app-only moving offers.",Moving App London,Get WhatsApp Quote | Call 07405 793433 | Get App,SoftwareApplication,P1,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
Contact,support,,,contact London movers,,/contact/,Contact London Movers | Beta Relocation,"Contact Beta Relocation for London man and van, removals, packing, furniture delivery, same-day moves, and app booking support.",Contact London Movers,Get WhatsApp Quote | Call 07405 793433 | Get App,ContactPage,P1,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
About,support,,,London moving company,,/about/,About Beta Relocation | London Moving Company,"Learn about Beta Relocation, a London moving company based at 20 Chesterton Rd, London E13 8BA and incorporated in England and Wales.",About Beta Relocation,Get WhatsApp Quote | Call 07405 793433 | Get App,AboutPage,P1,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
Legal,legal,,,privacy policy,,/privacy-policy/,Privacy Policy | Beta Relocation,"Read the Beta Relocation privacy policy for website, WhatsApp, app, and moving enquiry data.",Privacy Policy,Get WhatsApp Quote | Call 07405 793433 | Get App,WebPage,P2,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
Legal,legal,,,terms and conditions,,/terms/,Terms and Conditions | Beta Relocation,"Read Beta Relocation terms and conditions for London moving services, pricing, bookings, cancellations, and app use.",Terms and Conditions,Get WhatsApp Quote | Call 07405 793433 | Get App,WebPage,P2,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
Trust,trust,,,insured movers London,,/insurance/,Insured Movers London | Beta Relocation,"Learn about Beta Relocation insurance, Goods in Transit cover, careful moving processes, and claims support for London moves.",Insured Movers London,Get WhatsApp Quote | Call 07405 793433 | Get App,WebPage,P1,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
Offers,offers,,,moving offers London,,/offers/,Moving Offers London | App and WhatsApp Deals,"Check current moving offers London for man and van, student moves, same-day moves, and app booking promotions.",Moving Offers London,Get WhatsApp Quote | Call 07405 793433 | Get App,OfferCatalog,P2,Phase 1,"Use fixed pricing, no fake discounts, no forms.",Planned
Service Parent,services,Man and Van,London,man and van London,,/services/man-and-van/,Man and Van London | From £45/hr,"Book man and van London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Man and Van London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,House Removals,London,house removals London,,/services/house-removals/,House Removals London | From £45/hr,"Book house removals London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",House Removals London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,Office Removals,London,office removals London,,/services/office-removals/,Office Removals London | From £45/hr,"Book office removals London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Office Removals London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,Packing Service,London,packing service London,,/services/packing/,Packing Service London | From £45/hr,"Book packing service London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Packing Service London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,Student Removals,London,student removals London,,/services/student-removals/,Student Removals London | From £45/hr,"Book student removals London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Student Removals London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,Same-Day Moves,London,same-day moves London,,/services/same-day-moves/,Same-Day Moves London | From £45/hr,"Book same-day moves London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Same-Day Moves London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,Furniture Delivery,London,furniture delivery London,,/services/furniture-delivery/,Furniture Delivery London | From £45/hr,"Book furniture delivery London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Furniture Delivery London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,Piano Removals,London,piano removals London,,/services/piano-removals/,Piano Removals London | From £45/hr,"Book piano removals London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Piano Removals London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,Sofa Hoisting,London,sofa hoisting London,,/services/sofa-hoisting/,Sofa Hoisting London | From £45/hr,"Book sofa hoisting London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Sofa Hoisting London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Service Parent,services,Single Item Moves,London,single item moves London,,/services/single-item-moves/,Single Item Moves London | From £45/hr,"Book single item moves London from £45/hr. Insured movers for local London moves with WhatsApp, call, and app booking support.",Single Item Moves London,Get WhatsApp Quote | Call 07405 793433 | Get App,Service,P1,Phase 1,"Parent silo. Exact London keyword in title/meta/H1, clean URL without london.",Planned
Zone Hub,areas,All Services,East London,movers East London,,/areas/east-london/,Movers East London | London Moving Services from £45/hr,"Book movers East London from £45/hr for man and van, house removals, packing, furniture delivery, and same-day moves.",Movers East London,Get WhatsApp Quote | Call 07405 793433 | Get App,LocalBusiness,P1,Phase 1,Zone hub links to boroughs and service-location pages.,Planned
Zone Hub,areas,All Services,North London,movers North London,,/areas/north-london/,Movers North London | London Moving Services from £45/hr,"Book movers North London from £45/hr for man and van, house removals, packing, furniture delivery, and same-day moves.",Movers North London,Get WhatsApp Quote | Call 07405 793433 | Get App,LocalBusiness,P1,Phase 1,Zone hub links to boroughs and service-location pages.,Planned
Zone Hub,areas,All Services,South London,movers South London,,/areas/south-london/,Movers South London | London Moving Services from £45/hr,"Book movers South London from £45/hr for man and van, house removals, packing, furniture delivery, and same-day moves.",Movers South London,Get WhatsApp Quote | Call 07405 793433 | Get App,LocalBusiness,P1,Phase 1,Zone hub links to boroughs and service-location pages.,Planned
